name,description,latitude,longitude
Extremadura,Badajoz,38.87874339,-6.97099704
Cataluña/Catalunya,Barcelona,41.38424664,2.17634927
Ciudad Autónoma de Ceuta,Ceuta,35.88810209,-5.30675127
Canarias,Las Palmas de Gran Canaria,28.09937855,-15.41336841
La Rioja,Logroño,42.46644945,-2.44565538
Comunidad de Madrid,Madrid,40.40841191,-3.68760088
Ciudad Autónoma de Melilla,Melilla,35.294731,-2.942281
Región de Murcia,Murcia,37.98436361,-1.1285408
Principado de Asturias,Oviedo,43.36232165,-5.84372206
Illes Balears,Palma,39.57114699,2.65181698
Comunidad Foral de Navarra,Pamplona / Iruña,42.814102,-1.6451528
Galicia,Pontevedra,42.43381442,-8.64799018
Cantabria,Santander,43.46297885,-3.80474784
Andalucía,Sevilla,37.38620512,-5.99251368
Castilla-La Mancha,Toledo,39.85715187,-4.02431421
Comunitat Valenciana,Valencia,39.47534441,-0.37565717
Castilla y León,Valladolid,41.65232777,-4.72334924
País Vasco/Euskadi,Vitoria-Gasteiz,42.85058789,-2.67275685
Aragón,Zaragoza,41.65645655,-0.87928652
