lon,lat,data,label
-6.97099704,38.87874339,40-60,Extremadura
-3.68760088,40.40841191,20-80,Comunidad de Madrid
2.17634927,41.38424664,40-60,Catalunya
-15.41336841,28.09937855,40-60,Canarias
-2.44565538,42.46644945,40-60,La Rioja
-5.84372206,43.36232165,40-60,Principado de Asturias
2.65181698,39.57114699,40-60,Illes Balears
-1.6451528,42.814102,40-60,Comunidad Foral de Navarra
-8.64799018,42.43381442,40-60,Galicia
-3.80474784,43.46297885,40-60,Cantabria
-4.02431421,39.85715187,40-60,Castilla-La Mancha
-0.37565717,39.47534441,40-60,Comunitat Valenciana
